Score,Keyword,TrendName
32,Fortnite,Popular Video Games
31,Minecraft,Popular Video Games
13,GTA,Popular Video Games
11,WoW,Popular Video Games
7,CoD,Popular Video Games
7,Skyrim,Popular Video Games
7,Animal Crossing,Popular Video Games
6,FIFA,Popular Video Games
4,Overwatch,Popular Video Games
4,Witcher,Popular Video Games
3,Zelda,Popular Video Games
3,Valorant,Popular Video Games
3,Cyberpunk,Popular Video Games
2,Red Dead Redemption,Popular Video Games
1,Dota,Popular Video Games
54,Bluetooth,Technology and Gadgets
38,Tablet,Technology and Gadgets
17,Drone,Technology and Gadgets
9,Electric Car,Technology and Gadgets
7,Solar Panels,Technology and Gadgets
6,Smartphone,Technology and Gadgets
6,Smartwatch,Technology and Gadgets
6,3D Printer,Technology and Gadgets
5,Smart Home,Technology and Gadgets
3,Virtual Reality,Technology and Gadgets
2,Artificial Intelligence,Technology and Gadgets
1,Augmented Reality,Technology and Gadgets
1,5G Network,Technology and Gadgets
0,E-Reader,Technology and Gadgets
0,Robotic Vacuum,Technology and Gadgets
57,Los Angeles,Travel Destinations
35,San Francisco,Travel Destinations
32,London,Travel Destinations
30,Paris,Travel Destinations
15,Barcelona,Travel Destinations
10,New York City,Travel Destinations
10,Vancouver,Travel Destinations
9,Berlin,Travel Destinations
9,Tokyo,Travel Destinations
8,Rome,Travel Destinations
7,Amsterdam,Travel Destinations
7,Venice,Travel Destinations
7,Dubai,Travel Destinations
7,Sydney,Travel Destinations
6,Hong Kong,Travel Destinations
6,Singapore,Travel Destinations
3,Bangkok,Travel Destinations
2,Istanbul,Travel Destinations
1,Rio de Janeiro,Travel Destinations
1,Cape Town,Travel Destinations
26,Bitcoin,Cryptocurrencies
5,Ethereum,Cryptocurrencies
5,Terra,Cryptocurrencies
5,Avalanche,Cryptocurrencies
4,Dogecoin,Cryptocurrencies
3,The Graph,Cryptocurrencies
2,Polygon,Cryptocurrencies
2,Cosmos,Cryptocurrencies
2,XRP,Cryptocurrencies
2,THETA,Cryptocurrencies
1,Litecoin,Cryptocurrencies
1,Bitcoin Cash,Cryptocurrencies
1,Solana,Cryptocurrencies
1,Cardano,Cryptocurrencies
1,Stellar,Cryptocurrencies
0,Zilliqa,Cryptocurrencies
0,Binance Coin,Cryptocurrencies
0,Polkadot,Cryptocurrencies
0,Chainlink,Cryptocurrencies
0,Algorand,Cryptocurrencies
0,VeChain,Cryptocurrencies
0,Filecoin,Cryptocurrencies
0,Tezos,Cryptocurrencies
0,Elrond,Cryptocurrencies
0,Aave,Cryptocurrencies
0,Decentraland,Cryptocurrencies
0,Kusama,Cryptocurrencies
0,Synthetix,Cryptocurrencies
76,Running,Health and Fitness
45,Yoga,Health and Fitness
25,Swimming,Health and Fitness
13,Supplements,Health and Fitness
10,Keto Diet,Health and Fitness
10,Meditation,Health and Fitness
9,CrossFit,Health and Fitness
8,Cycling,Health and Fitness
6,Protein Powder,Health and Fitness
6,Pilates,Health and Fitness
5,Intermittent Fasting,Health and Fitness
2,Weightlifting,Health and Fitness
2,HIIT,Health and Fitness
2,Zumba,Health and Fitness
1,Fitness Tracker,Health and Fitness
1,Paleo Diet,Health and Fitness
1,Vegan Diet,Health and Fitness
0,Sleep Hygiene,Health and Fitness
0,Meal Planning,Health and Fitness
0,Calorie Counting,Health and Fitness
9,The Office,Popular TV Shows
6,Stranger Things,Popular TV Shows
6,Game of Thrones,Popular TV Shows
2,Breaking Bad,Popular TV Shows
2,The Walking Dead,Popular TV Shows
2,The Last of Us,Popular TV Shows
2,The Wire,Popular TV Shows
2,Seinfeld,Popular TV Shows
1,The Witcher,Popular TV Shows
1,Grey's Anatomy,Popular TV Shows
1,Peaky Blinders,Popular TV Shows
1,Westworld,Popular TV Shows
1,The Mandalorian,Popular TV Shows
1,Deadwood,Popular TV Shows
0,Battlestar Galactica,Popular TV Shows
24,Fishing,Hobbies and Interests
23,Drawing,Hobbies and Interests
17,Painting,Hobbies and Interests
16,Cooking,Hobbies and Interests
15,Camping,Hobbies and Interests
11,Baking,Hobbies and Interests
9,Photography,Hobbies and Interests
7,Hiking,Hobbies and Interests
5,Sewing,Hobbies and Interests
3,Pottery,Hobbies and Interests
2,Knitting,Hobbies and Interests
1,Calligraphy,Hobbies and Interests
1,Astronomy,Hobbies and Interests
1,Woodworking,Hobbies and Interests
1,Gardening,Hobbies and Interests
1,Wine Tasting,Hobbies and Interests
0,Birdwatching,Hobbies and Interests
0,Model Building,Hobbies and Interests
0,Scrapbooking,Hobbies and Interests
0,Homebrewing,Hobbies and Interests
30,Football,Sports
16,Basketball,Sports
12,Golf,Sports
9,Baseball,Sports
6,Soccer,Sports
4,Tennis,Sports
3,Hockey,Sports
2,Swimming,Sports
2,Volleyball,Sports
2,Cricket,Sports
2,Boxing,Sports
1,MMA,Sports
1,Cycling,Sports
1,Gymnastics,Sports
0,Rugby,Sports
0,Skiing,Sports
0,Snowboarding,Sports
0,Surfing,Sports
0,Skateboarding,Sports
